ID;SKU;Name;Published;Short description;description;In stock?;Stock;Categories
401;MS04;Gobi HeatTec Tee;1;This is a variable product called a Gobi HeatTec Tee;"When the training gets intense, the Gobi HeatTec Tee works as hard as you do to maintain your cool. The moisture-wicking material promises drier comfort, while breathable side panels deliver extra stretch that's sure to keep you moving.
 Orange micropolyester shirt. HeatTec wicking fabric. Crew neckline.  Machine wash/dry.";1;29;Clothing>Men>Tops>Tees
417;MS05;Helios EverCool Tee;1;This is a variable product called a Helios EverCool Tee;"Pumping iron or dialing the track, you've got cool comfort on your side in our short-sleeve Helios EverCool Tee. The fabric is infused with moisture-wicking technology that pulls sweat off your skin for speedy evaporation. Stretchy fabric gussets encourage ventilation while increasing your range of motion.
 Teal quick dry tee. Relaxed fit.  Crew neckline.  Machine wash/dry.";1;24;Clothing>Men>Tops>Tees>Collections>Eco Friendly
433;MS09;Ryker LumaTech Tee (Crew-neck);1;This is a variable product called a Ryker LumaTech Tee (Crew-neck);"The crew-neck Ryker LumaTech Tee hides premium performance technology beneath unassuming looks. The featherweight blend of fabrics wicks away moisture to keep you cool and dry in every phase of your active life.
 Royal polyester tee with black accents. Relaxed fit.  Short-Sleeve.  Machine wash/dry.";1;32;Clothing>Men>Tops>Tees
449;MS11;Atomic Endurance Running Tee (V-neck);1;This is a variable product called a Atomic Endurance Running Tee (V-neck);"Reach your limit and keep on going in the Atomic Endurance Running Tee. Built to help any athlete push past the wall with loads of performance features.
 Lime heathered v-neck tee.  Ultra-lightweight. Moisture-wicking Cocona fabric. Machine wash/dry.";1;28;Clothing>Men>Tops>Tees
465;MS12;Atomic Endurance Running Tee (Crew-Neck);1;This is a variable product called a Atomic Endurance Running Tee (Crew-Neck);"Like it's v-neck counterpart, the crew-neck Atomic Tee will get you to your goal and beyond with its many load-bearing features: ultra-lightweight, moisture-wicking Cocona fabric, chafe-free flatlock seams and an ergonomic cut that moves with your body.
 Red polyester tee. Crew neckline.  Cocona performance fabric.  Machine wash/dry.";1;29;Clothing>Men>Tops>Tees
481;MS03;Balboa Persistence Tee;1;This is a variable product called a Balboa Persistence Tee;"The Balboa Persistence Tee is a must-have for any athlete, Philadelphia or elsewhere. We took the best of performance apparel, cut the fluff and boiled it down to the basics for a lightweight, quick-drying t-shirt.
 Crew neckline.  Semi-fitted.  Cocona performance fabric.  Machine wash/dry.";1;29;Clothing>Men>Tops>Tees
497;MS06;Zoltan Gym Tee;1;This is a variable product called a Zoltan Gym Tee;"This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.
 Relaxed fit.  Crew neckline.  Machine wash/dry.";1;29;Clothing>Men>Tops>Tees
513;MS01;Aero Daily Fitness Tee;1;This is a variable product called a Aero Daily Fitness Tee;"Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don't be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.
Relaxed fit. Short-Sleeve. Machine wash/dry.";1;24;Clothing>Men>Tops>Tees
529;MS02;Ryker LumaTech Tee (V-neck);1;This is a variable product called a Ryker LumaTech Tee (V-neck);"Don't be fooled by its classic style; the Ryker LumaTech Tee embodies the future of performance apparel. Its featherweight blend of fabrics wicks away moisture to keep you cool and dry, whether racking up miles, hitting three pointers or strutting the boardwalk.
 Relaxed fit.  Short-Sleeve.  Machine wash/dry.";1;28;Clothing>Men>Tops>Tees
545;MS10;Logan  HeatTec Tee;1;This is a variable product called a Logan  HeatTec Tee;"Soft and lightweight, the Logan HeatTec Tee gets you through the long haul in total comfort. It boasts superior sweat-wicking performance to keep skin dry and cool, and strategic flat-lock seams to resist chafing.
 Semi-fitted.  Crew neckline.  Machine wash/tumble dry.";1;24;Clothing>Men>Tops>Tees
561;MS07;Deion Long-Sleeve EverCool Tee;1;This is a variable product called a Deion Long-Sleeve EverCool Tee;"When you're training, ordinary tees don't cut it. That's why the Dion Long-Sleeve EverCool Tee features revolutionary Cocona fabric derived from a renewable resource: coconut shells. This unique material protects you from harmful UV rays, wicks away sweat, controls stink and dries quickly.
 Fitted.  Contrast inner neck tape.  Machine wash/dry.";1;39;Clothing>Men>Tops>Tees
577;MS08;Strike Endurance Tee;1;This is a variable product called a Strike Endurance Tee;"While grit and purpose keep you going, it helps to have a little extra comfort, too. Our Strike Long-Sleeve Endurance Tee helps ensures a photo-ready finish with advanced sweat-wicking technology for a cool, dry feel.
 Loose fit.  Ribbed cuffs/collar.  Machine wash/dry.";1;39;Clothing>Men>Tops>Tees
593;MT01;Erikssen CoolTech Fitness Tank;1;This is a variable product called a Erikssen CoolTech Fitness Tank;"A good running tank helps make the miles pass by keep you cool. The Erikssen CoolTech Fitness Tank completes that mission, with performance fabric engineered to wick perspiration and promote airflow.
 Red performance tank. Slight scoop neckline.  Reflectivity.  Machine wash/dry.";1;29;Clothing>Men>Tops>Tanks
609;MT02;Tristan Endurance Tank;1;This is a variable product called a Tristan Endurance Tank;"Push yourself through punishing runs, plyometric workouts, intense competition and more in our athletic Tristan Endurance Tank. Constructed with built-in moisture-wicking technology, it's designed to keep you completely cool and dry on the long haul.
 White performance tank. Stylish contrast stitching.  Relaxed fit.  Ribbed crew neckline.  Machine wash/dry.";1;29;Clothing>Men>Tops>Tanks
625;MT03;Primo Endurance Tank;1;This is a variable product called a Primo Endurance Tank;"Chances are your workout goes beyond free weights, which is why the Primo Endurance Tank employs maximum versatility. Run, lift or play ball  this breathable mesh top will keep you cool during all your activities.
 Red heather tank with gray pocket. Chafe-resistant flatlock seams.  Relaxed fit.  Contrast topstitching. Machine wash/dry.";1;29;Clothing>Men>Tops>Tanks
631;MT04;Helios Endurance Tank;1;This is a variable product called a Helios Endurance Tank;"When training pushes your limits, you need gear that works harder than you. Our mesh Helio Training Tank is crafted from super-soft, ultra-lightweight fabric that stretches in all directions to follow your every move, on mat, court or street.
 Blue heather tank with gray pocket. Contrast sides and back inserts. Self-fabric binding at neck and armholes.  Machine wash/dry.";1;32;Clothing>Men>Tops>Tanks
637;MT05;Rocco Gym Tank;1;This is a variable product called a Rocco Gym Tank;"Weights? Heavy Bag? Bikram? However you get sweaty, you'll be prepared with the moisture-wicking all-purpose Rocco Gym Tank. The free-moving cut gives you maximum range of motion, with flatlock seams to eliminate chafing.
 Light blue heather gray tank. Quick-drying, moisture-wicking. 4-way stretch construction. Flatlock seams prevent chafing. Mesh at back for breathability. 100% Polyester. UPF 50 protection.";1;24;Clothing>Men>Tops>Tanks
643;MT06;Vulcan Weightlifting Tank;1;This is a variable product called a Vulcan Weightlifting Tank;"The Olympic styled Vulcan Weightlifting Tank features polyester stretch and flex. Hit the rack in sleeveless style and unleash your personal best. This tank is designed to max performance, comfort and range of motion.
 Black polyester spandex tank. 100% polyester. Freedom of movement. No-chafe seams.";1;28;Clothing>Men>Tops>Tanks
649;MT07;Argus All-Weather Tank;1;This is a variable product called a Argus All-Weather Tank;"The Argus All-Weather Tank is sure to become your favorite base layer or go-to cover for hot outdoor workouts. With its subtle reflective safely trim, you can even wear it jogging on urban evenings.
 Dark gray polyester spandex tank. Reflective details for nighttime visibility.  Stash pocket. Anti-chafe flatlock seams.";1;22;Clothing>Men>Tops>Tanks>Collections>Eco Friendly
655;MT08;Sparta Gym Tank;1;This is a variable product called a Sparta Gym Tank;"The high performance Sparta Gym Tank is made with thin, light, merino wool and aims to be the perfect base layer or balmy weather running and fitness top.
 Green polyester tank. Ultra lightweight. Naturally odor-resistant. Close-to-body athletic fit. Chafe-resistant flatlock seams.";1;29;Clothing>Men>Tops>Tanks
661;MT09;Sinbad Fitness Tank;1;This is a variable product called a Sinbad Fitness Tank;"Solid in color and construction, the 100% cotton-weave Sinbad Fitness Tank moves with you as you press, hold, crunch and stride your way to the ultimate you.
 Teal polyester tank. Premium fit tank top. Ultra lightweight. Naturally odor-resistant.";1;29;Clothing>Men>Tops>Tanks
667;MT10;Tiberius Gym Tank;1;This is a variable product called a Tiberius Gym Tank;"Whether you're classy or just sweaty, the Tiberius Gym Tank helps you look good while you're at it. What's more, its moisture-wicking, quick-drying, anti-microbial and anti-odor construction help ensure you're welcome back to the gym.
 Yellow scoop neck cotton tank. Comfortable, relaxed fit. 55% Hemp / 45% Organic Cotton. Pesticide- and herbicide-free hemp.";1;18;Clothing>Men>Tops>Tanks
673;MT11;Atlas Fitness Tank;1;This is a variable product called a Atlas Fitness Tank;"From weekend warrior to Warrior Pose II, no role can beat the Atlas Fitness Tank, a versatile top for gym and yoga studio. Wicking-weave soft fabric helps prevent uncomfortable chafing.
 Teal scoop neck cotton tank. Triblend, soft fabric. Relaxed fit.";1;18;Clothing>Men>Tops>Tanks>Collections>Eco Friendly
679;MT12;Cassius Sparring Tank;1;This is a variable product called a Cassius Sparring Tank;"Whether you're up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.
 Royal crewneck cotton tank. Contrast stitching. Self fabric binding at neckline. Slim fit. 96% Merino / 4% LYCRA.";1;18;Clothing>Men>Tops>Tanks
692;MP01;Caesar Warm-Up Pant;1;This is a variable product called a Caesar Warm-Up Pant;"Command your workout and keep your muscles limber in the Caesar Warm-Up Pant. Engineered CoolTech fabric wicks away moisture so you don't have to worry about sweat and discomfort. The drawstring-adjustable waist helps make sure your pants fit properly.
 Light gray heather knit straight leg pants. Relaxed fit.  Inseam: 32"".  Machine wash/dry. CoolTech wicking fabric.";1;35;Clothing>Men>Bottoms>Pants>Promotions>Pants
705;MP02;Viktor LumaTech Pant;1;This is a variable product called a Viktor LumaTech Pant;"You'll love the new Viktor LumaTech Pant, with featherweight fleece fabric lining and stretchy, sweat-wicking material. It delivers toasty warmth on the sidelines or in cold-weather training, with reflective trim for a safe finish.
 Dark gray polyester/spandex straight leg pants. Elastic waistband and internal drawstring. Relaxed fit.  Machine wash/dry.";1;46;Clothing>Men>Bottoms>Pants>Promotions>Pants>Collections>Performance Fabrics
718;MP03;Geo Insulated Jogging Pant;1;This is a variable product called a Geo Insulated Jogging Pant;"In the cold, even the toughest guys shiver, unless they're in the Geo Insulated Jogging Pant. Lightweight and wind resistant, they block brutal wind gusts and warm you to the bone. Breathable mesh keeps them dry on the inside.
 Black polyester spandex pants with zipper pockets. Reflective safety accents.  Loose fit. On-seam pockets.  8"" leg zips. 32"" inseam.  Machine wash/dry.";1;51;Clothing>Men>Bottoms>Pants>Promotions>Pants>Collections>New Luma Yoga Collection
731;MP04;Supernova Sport Pant;1;This is a variable product called a Supernova Sport Pant;"Turn the corner and open it up -- your driveway is two blocks away. The Supernova Sport Pant gets you there with key features like moisture-wicking LumaTech fabric and mesh ventilation. Side seam pockets ensure total convenience during rest periods.
 Dark heather gray straight leg cotton pants. Relaxed fit.  Internal drawstring.  Machine wash/dry.";1;45;Clothing>Men>Bottoms>Pants>Promotions>Pants
744;MP05;Kratos Gym Pant;1;This is a variable product called a Kratos Gym Pant;"Like it's namesake god of strength, the Kratos Gym Pant help you bring your best to bear on weight-based, plyometric and endurance exercise. They stretch and support in all the right places while ultra-light construction and moisture-wicking technology provide comfort.
 Navy cotton straight leg pants. Relaxed fit.  2 side-seam pockets.  Internal zip pocket.  Drawstring waist.  Machine wash/dry.";1;57;Clothing>Men>Bottoms>Pants>Promotions>Pants>Collections>New Luma Yoga Collection
757;MP06;Mithra Warmup Pant;1;This is a variable product called a Mithra Warmup Pant;"When you're not sure you're up to the weather, don the Mithra Warmup Pant for a confidence boost. Its supersoft, stretchy fabric and fleece-like finish help prep your muscles and ease your mind. Designed for relaxed, easy-wear fit with handy ankle zips.
 Ankle zips. Elasticized waistband with draw cord. Dual hand pockets. Reflective elements for low-light safety.";1;28;Clothing>Men>Bottoms>Pants>Promotions>Pants>Collections>Eco Friendly
770;MP07;Thorpe Track Pant;1;This is a variable product called a Thorpe Track Pant;"Thirty degree temps are chilly for most, except when you're in Thorpe Track Pants. These top-of-the-line track bottoms are made from fast-drying, weather-resistant fabric with an internal breathable layer of mesh nylon to wick away moisture.
 Moisture transfer properties.  7% stretch. Reflective safety trim. Elastic drawcord waist.";1;68;Clothing>Men>Bottoms>Pants>Promotions>Pants>Collections>New Luma Yoga Collection
783;MP08;Zeppelin Yoga Pant;1;This is a variable product called a Zeppelin Yoga Pant;"Climb every mountain, or hold every pose, in the all-purpose Zepellin Yoga Pant. With its thin fleece interior and smooth layer-friendly surface, you'll get all the comfort and versatility you need.
 Smooth exterior for easy over-layering. Brushed fleece interior insulates and wicks.  No-roll elastic waistband with inner drawstring. Chafe-resistant flatlock seams.";1;82;Clothing>Men>Bottoms>Pants>Promotions>Pants>Collections>New Luma Yoga Collection
796;MP09;Livingston All-Purpose Tight;1;This is a variable product called a Livingston All-Purpose Tight;"It's not often that your pants work as a yoga staple and a climbing buddy. The Livingston All-Purpose Tight is made with soft, 11% cotton and nylon polymer stretch construction that lets you find the right angle in the studio or on the mountain side.
 Breathable stretch organic cotton/spandex. Compression fit Hidden key pocket Elastic waist with internal drawcord.";1;75;Clothing>Men>Bottoms>Pants>Promotions>Pants>Collections>New Luma Yoga Collection>Collections>Erin Recommends
809;MP10;Orestes Yoga Pant ;1;This is a variable product called a Orestes Yoga Pant ;"The Orestes Yoga Pant is a yoga basic that sustains the novice yogi well into the expert stage. Organic sustainable cotton and 9% stretch spandex let your body bend to your will while your conscience stays clear.
 A yoga essential. Breathable stretch organic cotton/spandex. Standard Fit.";1;66;Clothing>Men>Bottoms>Pants>Promotions>Pants>Collections>Erin Recommends
822;MP11;Aether Gym Pant ;1;This is a variable product called a Aether Gym Pant ;"The Aether Gym Pant is built for the studio, but adapts perfectly well to outdoor and gym environs too. With lightweight stretch fabric and water-repellent exterior, the Aether is ready for all comers.
 Pants/shorts convertible. Lightweight moisture wicking.  Water repellent. Belted waist.";1;74;Clothing>Men>Bottoms>Pants>Promotions>Pants>Collections>Erin Recommends
835;MP12;Cronus Yoga Pant ;1;This is a variable product called a Cronus Yoga Pant ;"Guys who love yoga love this all-purpose yoga pant. Designed for yoga, gym and lounge, the Cronus Yoga Pant is a loose-fitting, classic-style pant made from a lightweight blend of cotton, recycled polyester and a touch of Spandex for the stretch factor.
 Drawstring waist. Loose, straight-leg fit. Lightweight cotton-recycled blend. Front pockets with stitching detail. Elastic ankle.";1;48;Clothing>Men>Bottoms>Pants>Promotions>Pants
848;MSH01;Cobalt CoolTech Fitness Short;1;This is a variable product called a Cobalt CoolTech Fitness Short;"It's not rocket surgery: the hotter your conditions, the more you need to stay cool. That's why the Cobalt CoolTech Fitness Short features built-in technology and side perforations that keep you ventilated and comfortable for the distance. The elastic waist promises a personalized fit.
 Light blue nylon shorts. Relaxed fit.  5"" inseam.  Machine wash/dry.";1;44;Clothing>Men>Bottoms>Shorts>Collections>Erin Recommends
853;MSH02;Apollo Running Short;1;This is a variable product called a Apollo Running Short;"Fleet of foot or slow and steady, you'll be in complete comfort with the Apollo Running Short. Lightweight polyester material lets you move with ease, and mesh side panels promise plenty of ventilation as you work up a sweat. The stretchy elastic waistband delivers a flexible fit.
 Black shorts with green accents. Side pockets.  4"" inseam.  Machine wash/dry.";1;32;Clothing>Men>Bottoms>Shorts
866;MSH03;Meteor Workout Short;1;This is a variable product called a Meteor Workout Short;"Step into the Meteor Workout Short for an incredibly lightweight fitness experience. Its breathable construction and an inner brief provide additional comfort and support, while the adjustable waistband offers the perfect fit to take you to the finish.
 Royal blue shorts with light blue accents. Interior drawstring waistband.  7"" inseam.  Machine wash/dry.";1;32;Clothing>Men>Bottoms>Shorts>Collections>Performance Fabrics
879;MSH04;Torque Power Short;1;This is a variable product called a Torque Power Short;"Take a turn in the Torque Power Short and enjoy the smooth, motion-friendly stretch and sweat-wicking, UV-protective material. You'll stay cool, dry and energized miles later.
 Light gray shorts. Fitted design.  Elastic waistband.  Flat-seam construction.  7"" inseam.  Machine wash/dry.";1;32;Clothing>Men>Bottoms>Shorts
892;MSH05;Hawkeye Yoga Short;1;This is a variable product called a Hawkeye Yoga Short;"What more do you need than a sporty yoga short made with organic cotton and a little spandex for mobility? The Hawkeye Yoga Short brings a stylish, standard fit you can sport with confidence outside the studio.
 Dark gray shorts with red accents. 92% Organic Cotton 8% Spandex. Breathable stretch organic cotton. Medium=8.0"" (21.0cm) inseam.";1;29;Clothing>Men>Bottoms>Shorts>Collections>Performance Fabrics
905;MSH06;Lono Yoga Short;1;This is a variable product called a Lono Yoga Short;"Some shorts are all-purpose, while the Lono Yoga Short has a single purpose: yoga. Soft, flexible outer material moves with your body, and a secure, integrated boxer brief liner gives you extra confidence as you push your physique to the outer limits.
 Dark gray shorts with mesh accents. Ultra flexible four-way stretch. Flatlock seams and waistband. Two pockets, phony fly. Nylon/Lycra outer, Polyester/Lycra inner.";1;32;Clothing>Men>Bottoms>Shorts>Collections>New Luma Yoga Collection
918;MSH07;Rapha  Sports Short;1;This is a variable product called a Rapha  Sports Short;"For those about to sweat, we support you with the Rapha Sports Short. The compression-fit liner surrounds your muscles with the stimulation they need to find your high gear, while moisture-wicking performance fabric helps prevents sweat build-up.
 Black shorts with royal accents. Compression liner.  Inseam: 8"".  Machine wash/dry.";1;35;Clothing>Men>Bottoms>Shorts>Promotions>Men Sale>Collections>Erin Recommends
